,mp_x,mp_y,mp_z
110,-14632.84427549244,0.0,-4339.403886304953
46,-14247.697164763169,0.0,-4336.346319141016
173,-12099.627619852492,0.0,-4314.467489935297
160,-11200.988295037192,0.0,-4302.055152814494
120,-11197.229543106983,0.0,-4301.998007582247
70,-10038.282764632939,0.0,-4281.855805286661
113,-7489.251051287051,0.0,-4211.2802655374935
47,-6801.724065267414,0.0,-4182.45389283888
73,-6068.4725723738975,0.0,-4144.68862542111
147,-5838.229339083728,0.0,-4131.017754660939
136,-5837.129544692704,0.0,-4130.950125075362
40,-5554.51096759196,0.0,-4112.7898090644
122,-5428.608903241985,0.0,-4104.172649608763
196,-4918.114341594993,0.0,-4065.5002898268467
132,-4785.276997022151,0.0,-4054.3565193819413
167,-4320.005124003795,0.0,-4011.278023201491
43,-4173.126503035492,0.0,-3996.241141621379
62,-4058.114373212568,0.0,-3983.9384438405305
175,-4009.0815829337985,0.0,-3978.5466630381998
159,-3986.9914167945144,0.0,-3976.088195406498
103,-3957.038066510162,0.0,-3972.7250878729064
164,-3951.1231759826264,0.0,-3972.0569259110634
101,-3266.9717595752095,0.0,-3884.8561952839455
64,-3081.6032466428646,0.0,-3857.4287325090963
104,-3076.0610594212444,0.0,-3856.5807622096554
190,-2845.1332498469055,0.0,-3819.7226627404525
153,-2738.2782202191765,0.0,-3801.6117410575516
123,-2715.344508174558,0.0,-3797.633319171333
63,-2412.019210910889,0.0,-3741.791514697382
27,-2191.1637343454504,0.0,-3697.068905117986
146,-2071.222049315151,0.0,-3671.2145862387897
198,-1849.6318857664926,0.0,-3620.313419862733
31,-1590.9768677090017,0.0,-3555.2957394793884
127,-1344.6018701978155,0.0,-3487.1387407901752
80,-1249.944346204387,0.0,-3459.1912165484223
105,-816.5725622951715,0.0,-3317.2074924548133
176,-751.2226579502282,0.0,-3293.60838535456
161,-722.7421556740633,0.0,-3283.128808137137
114,-645.2476847501241,0.0,-3253.9990798801896
35,-640.6474498019596,0.0,-3252.2410774350938
131,-619.6844813631783,0.0,-3244.18841632809
88,-306.42441467264825,0.0,-3115.2546818334586
192,-250.00162196051676,0.0,-3090.200372817427
22,163.95557631347177,0.0,-2886.6858505241357
72,205.1842825882269,0.0,-2864.323395498304
186,240.19429738725321,0.0,-2845.0062565088
157,324.1925496422634,0.0,-2797.3899176672858
50,359.5211485169424,0.0,-2776.809763657322
29,370.58377993760797,0.0,-2770.2960968919047
183,629.079663081475,0.0,-2608.0012144974503
42,689.0539188110432,0.0,-2567.3544016761484
117,741.1137601873046,0.0,-2531.0705497657323
17,1168.9531104289529,0.0,-2191.7371039244204
56,1195.0411036920898,0.0,-2168.275153131589
6,1312.0402248068804,0.0,-2058.311858053301
134,1312.410077012467,0.0,-2057.951260897638
177,1383.6561563354899,0.0,-1986.8420871934563
166,1463.541004108922,0.0,-1902.9531569513333
174,1493.6329771962303,0.0,-1870.1173441595256
118,1526.6751964390503,0.0,-1833.229221183104
74,1551.2409966932637,0.0,-1805.2139062095043
33,1555.2556869592736,0.0,-1800.5861045927932
197,1579.2388600599213,0.0,-1772.643346299103
189,1767.1163503161588,0.0,-1533.802464398543
36,1779.7755912836374,0.0,-1516.2511751755894
191,1795.6840502772422,0.0,-1493.8949392947043
49,1906.0029626886062,0.0,-1328.6362482171944
162,1920.657648440658,0.0,-1305.1771048029827
168,1936.2642396344988,0.0,-1279.7566660442437
7,1971.9827440595782,0.0,-1219.7700268509
143,1972.0347036770956,0.0,-1219.680838572199
21,1990.664720302821,0.0,-1187.3216473161579
169,1992.5077117816115,0.0,-1184.0782972921854
66,2036.3961208063615,0.0,-1104.4350900522445
93,2120.307322375247,0.0,-937.0950179541187
59,2153.0866150458496,0.0,-865.0685251768241
82,2180.2893311211546,0.0,-801.768410521009
76,2201.400044374621,0.0,-750.1019317097234
18,2247.764658459269,0.0,-627.1787513557567
84,2293.775542074202,0.0,-488.30587680621113
163,2293.994212397631,0.0,-487.5944326121953
150,2298.3514494821716,0.0,-473.29972134670925
185,2315.6137360339435,0.0,-414.2701488435773
11,2346.6994046363106,0.0,-296.01597264988277
61,2369.8701959773107,0.0,-193.81312374528272
144,2398.52832199895,0.0,-39.23770039749638
16,2411.9196645485385,0.0,52.23788457659799
138,2429.9072426978755,0.0,222.88521979038006
69,2438.6009818062744,0.0,383.59824265327154
194,2439.963440905667,0.0,494.4232568030633
